loan_id,customer_id,loan_amount,loan_date,loan_status,repayment_history,interest_rate,loan_purpose,collateral,default_risk,repayment_rank
2794,817,142924,2021-06-11,Defaulted,10,9.18,"Business Expansion",House,High,1
2803,377,70212,2024-01-29,Rejected,10,4.44,"Home Renovation",Car,Medium,1
2804,726,93701,2020-11-03,Closed,10,6.84,Medical,House,Low,1
2807,634,494200,2024-10-15,Defaulted,10,9.05,Medical,Car,Medium,1
2828,9,135396,2022-06-30,Rejected,10,6.71,"Business Expansion",Car,Medium,1
2841,744,39850,2020-07-26,Approved,10,12.02,"Business Expansion",None,Low,1
2845,597,463552,2024-07-08,Closed,10,8.13,"Home Renovation",Car,Medium,1
2846,278,202194,2021-05-30,Closed,10,4.78,"Home Renovation",None,High,1
2855,171,42663,2021-10-25,Closed,10,8.52,"Business Expansion",None,High,1
2859,755,110949,2022-07-22,Closed,10,8.9,"Business Expansion",House,Low,1
2865,669,421445,2021-01-27,Rejected,10,5.32,"Home Renovation",Car,Low,1
2871,741,339136,2021-01-12,Approved,10,3.79,"Business Expansion",None,High,1
2876,111,322918,2020-08-10,Rejected,10,6.74,Education,None,Medium,1
2927,111,441154,2020-09-24,Closed,10,9.72,"Home Renovation",None,Low,1
2945,882,121977,2023-11-13,Approved,10,11.4,Medical,Car,High,1
2950,222,231692,2021-12-26,Approved,10,3.77,Education,None,Low,1
2960,726,260609,2023-09-08,Rejected,10,11.29,"Home Renovation",Car,High,1
2972,909,118370,2022-04-18,Closed,10,12.27,"Home Renovation",House,High,1
2993,668,140973,2022-02-14,Approved,10,3.67,"Business Expansion",House,High,1
2994,472,128785,2023-01-15,Rejected,10,11.3,"Home Renovation",Car,Medium,1
2995,141,14559,2021-03-15,Rejected,10,6.2,"Home Renovation",Car,Low,1
2999,669,358124,2023-07-24,Approved,10,7.38,Education,House,High,1
3,934,356749,2022-01-04,Approved,10,12.35,"Home Renovation",House,Medium,1
9,955,428895,2022-01-08,Rejected,10,4.27,"Home Renovation",None,High,1
21,701,27941,2023-10-21,Approved,10,9.7,Education,Car,Medium,1
41,783,327125,2023-02-13,Closed,10,9.34,"Home Renovation",None,Low,1
58,592,33542,2023-08-09,Rejected,10,6.51,"Business Expansion",House,Low,1
76,36,448203,2021-06-24,Rejected,10,12.5,"Home Renovation",None,Low,1
81,584,74694,2023-04-09,Closed,10,7.68,Education,House,Medium,1
97,27,319264,2024-07-20,Closed,10,10.53,"Home Renovation",House,High,1
103,868,159138,2024-03-21,Approved,10,10.5,"Business Expansion",None,High,1
107,69,370278,2022-10-25,Defaulted,10,11.84,Medical,Car,Medium,1
116,617,329295,2020-09-16,Defaulted,10,9.54,"Business Expansion",None,High,1
126,635,486235,2023-04-18,Defaulted,10,6.75,Education,Car,High,1
128,871,24525,2020-10-08,Approved,10,9.26,Medical,None,Medium,1
129,250,203747,2020-12-13,Defaulted,10,7.26,Medical,None,Low,1
140,427,381132,2022-03-14,Rejected,10,5.06,"Home Renovation",House,High,1
146,745,287929,2020-03-02,Closed,10,6.79,Medical,Car,Low,1
153,683,493919,2023-03-10,Closed,10,5.77,"Business Expansion",None,High,1
154,643,226157,2023-04-09,Closed,10,7.26,Medical,House,High,1
157,426,357408,2021-11-23,Approved,10,8.58,"Home Renovation",None,Low,1
173,876,467223,2023-07-31,Closed,10,11.92,"Business Expansion",None,Low,1
174,220,224162,2024-09-13,Rejected,10,9.71,Education,Car,Low,1
178,717,331305,2020-01-09,Defaulted,10,10.91,Medical,Car,Medium,1
218,53,280068,2024-03-03,Approved,10,5.28,"Business Expansion",None,Low,1
236,43,332705,2023-04-11,Closed,10,3.7,"Business Expansion",Car,Low,1
251,858,270432,2024-03-09,Rejected,10,10.69,Education,Car,Medium,1
253,41,171901,2023-10-09,Defaulted,10,9.97,Education,Car,Low,1
263,485,186758,2024-08-22,Approved,10,6.48,"Home Renovation",Car,High,1
267,252,355720,2022-06-20,Rejected,10,8.15,"Home Renovation",None,Medium,1
283,202,168974,2022-07-03,Rejected,10,7.08,Education,None,Medium,1
302,962,53573,2023-08-12,Closed,10,5.62,"Business Expansion",None,High,1
306,664,238603,2020-10-25,Rejected,10,7.16,"Home Renovation",House,High,1
325,543,194380,2023-01-27,Approved,10,6.74,Medical,House,Medium,1
327,336,420944,2022-09-19,Closed,10,5.73,"Business Expansion",Car,Low,1
333,646,199090,2022-10-08,Approved,10,4.27,Education,Car,Low,1
338,183,190835,2023-06-16,Closed,10,3.6,Medical,None,High,1
344,461,263134,2022-02-25,Approved,10,12.32,"Home Renovation",Car,Low,1
346,598,222381,2020-11-02,Rejected,10,10.21,"Business Expansion",House,Low,1
351,889,240533,2023-01-10,Rejected,10,4.43,"Business Expansion",Car,Low,1
371,972,480186,2021-07-01,Approved,10,12.3,"Business Expansion",House,Low,1
375,874,226968,2024-05-11,Defaulted,10,9.96,"Business Expansion",House,Low,1
380,40,459247,2020-08-05,Approved,10,7.06,"Home Renovation",House,High,1
413,305,442096,2024-07-24,Defaulted,10,9.3,"Business Expansion",None,Low,1
418,532,7912,2023-03-30,Rejected,10,10.17,"Home Renovation",Car,Medium,1
422,614,163040,2022-04-22,Closed,10,12.19,"Home Renovation",House,Medium,1
424,818,311360,2020-11-22,Approved,10,4.4,Medical,Car,Medium,1
